Episode 3272, Reward: -35.32, Step: 21161
Episode 3273, Reward: -31.68, Step: 21166
Episode 3274, Reward: -29.50, Step: 21176
Episode 3275, Reward: -33.54, Step: 21181
Episode 3276, Reward: -24.36, Step: 21196
Episode 3277, Reward: -32.27, Step: 21204
Episode 3278, Reward: -32.93, Step: 21215
Episode 3279, Reward: -33.95, Step: 21223
Episode 3280, Reward: -38.98, Step: 21237
Episode 3281, Reward: -28.86, Step: 21251
Episode 3282, Reward: -32.49, Step: 21260
Episode 3283, Reward: -32.37, Step: 21266
Episode 3284, Reward: -39.80, Step: 21272
Episode 3285, Reward: -32.14, Step: 21281
Episode 3286, Reward: -35.87, Step: 21289
Episode 3287, Reward: -34.32, Step: 21295
Episode 3288, Reward: -35.91, Step: 21306
Episode 3289, Reward: -32.58, Step: 21316
Episode 3290, Reward: -26.94, Step: 21327
Episode 3291, Reward: -54.41, Step: 21337
Episode 3292, Reward: -32.36, Step: 21345
Episode 3293, Reward: -33.97, Step: 21353
Episode 3294, Reward: -34.70, Step: 21360
Episode 3295, Reward: -29.66, Step: 21370
Episode 3296, Reward: -34.25, Step: 21379
Episode 3297, Reward: -29.91, Step: 21386
Episode 3298, Reward: -30.95, Step: 21393
Episode 3299, Reward: -32.07, Step: 21402
Episode 3300, Reward: -34.29, Step: 21410
Episode 3301, Reward: -31.43, Step: 21421
Episode 3302, Reward: -34.24, Step: 21435
Episode 3303, Reward: -24.67, Step: 21450
Episode 3304, Reward: -31.40, Step: 21458
Episode 3305, Reward: -33.89, Step: 21465
Episode 3306, Reward: -35.03, Step: 21475
Episode 3307, Reward: -54.62, Step: 21482
Episode 3308, Reward: -32.68, Step: 21493
Episode 3309, Reward: -35.99, Step: 21504
Episode 3310, Reward: -36.21, Step: 21510
Episode 3311, Reward: -33.05, Step: 21517
Episode 3312, Reward: -30.69, Step: 21524
Episode 3313, Reward: -31.15, Step: 21531
Episode 3314, Reward: -33.02, Step: 21537
Episode 3315, Reward: -35.60, Step: 21544
Episode 3316, Reward: -31.77, Step: 21551
Episode 3317, Reward: -30.51, Step: 21558
Episode 3318, Reward: -28.65, Step: 21565
Episode 3319, Reward: -28.90, Step: 21580
Episode 3320, Reward: -31.95, Step: 21585
Episode 3321, Reward: -32.95, Step: 21594
Episode 3322, Reward: -35.18, Step: 21601
Episode 3323, Reward: -29.79, Step: 21609
Episode 3324, Reward: -30.32, Step: 21618
Episode 3325, Reward: -33.27, Step: 21626
Episode 3326, Reward: -32.96, Step: 21638
Episode 3327, Reward: -31.82, Step: 21643
Episode 3328, Reward: -30.82, Step: 21649
Episode 3329, Reward: -31.78, Step: 21655
Episode 3330, Reward: -35.85, Step: 21662
Episode 3331, Reward: -29.88, Step: 21669
Episode 3332, Reward: -32.66, Step: 21675
Episode 3333, Reward: -30.32, Step: 21685
Episode 3334, Reward: -35.42, Step: 21690
Episode 3335, Reward: -32.26, Step: 21701
Episode 3336, Reward: -38.51, Step: 21712
Episode 3337, Reward: -34.64, Step: 21718
Episode 3338, Reward: -31.59, Step: 21723
Episode 3339, Reward: -37.23, Step: 21729
Episode 3340, Reward: -34.94, Step: 21734
Episode 3341, Reward: -30.43, Step: 21741
Episode 3342, Reward: -32.63, Step: 21747
Episode 3343, Reward: -28.43, Step: 21756
Episode 3344, Reward: -32.30, Step: 21761
Episode 3345, Reward: -29.87, Step: 21771
Episode 3346, Reward: -34.01, Step: 21780
Episode 3347, Reward: -33.52, Step: 21788
Episode 3348, Reward: -34.32, Step: 21794
Episode 3349, Reward: -27.40, Step: 21807
Episode 3350, Reward: -32.62, Step: 21813
Episode 3351, Reward: -39.92, Step: 21819
Episode 3352, Reward: -29.58, Step: 21831
Episode 3353, Reward: -33.41, Step: 21838
Episode 3354, Reward: -30.56, Step: 21844
Episode 3355, Reward: -35.62, Step: 21849
Episode 3356, Reward: -31.22, Step: 21855
Episode 3357, Reward: -33.47, Step: 21861
Episode 3358, Reward: -33.77, Step: 21869
Episode 3359, Reward: -32.80, Step: 21875
Episode 3360, Reward: -29.93, Step: 21886
Episode 3361, Reward: -31.86, Step: 21892
